#nb_days;#heure_repas_debut;#heure_repas_fin
75;12h15;14h00
#Cours;#Prof;#Groupe;#Batiment;#Salle;#Jour;#heure_debut;#heure_fin;#session_type
Elec;Chris;1_G;GP;GP218;8;09h30;10h45;TD
Penser;Gwen;1_G;GB;GB42;8;11h00;12h15;TD
Expr;Barde;1_G;CSH;CSH211;9;09h30;12h15;TD
Electro;Tom;1_G;GP;GP1;9;15h30;18h30;TP
Electro;Tom;1_C;GB;GB42;10;09h30;10h45;TD
Electro;Tom;1_C;GB;GB43;10;11h00;12h15;TD
Elec;Gégé;1_C;Principal;Vinci;10;14h00;15h15;CM
SI;Remy;1_C;MFJA;MFJA;10;16h00;18h30;TP
Penser;Seb;1_C;GB;GB42;11;08h00;09h15;TD
Electro;Eric;1_C;GP;GP2;11;09h30;12h30;TP
Thermo;Max;1_C;GB;GB42;11;14h00;15h15;TD
Elec;Gégé;1_C;GB;GB42;11;15h30;16h45;TD
Elec;Gégé;1_C;Principal;Vinci;12;08h00;09h15;CM
Mat2;Euler;1_C;Principal;Vinci;12;09h30;10h45;CM
Mat2;Gauss;1_C;Principal;Amphi102;12;11h00;12h15;TD
Electro;Tom;1_C;CSH;CSH010;12;14h00;15h15;TD
Sport;Kylian;1_C;Gym;Gym;13;16h00;17h45;APS
Elec;Gégé;1_C;Principal;Vinci;13;8h00;9h15;CM
Esp;Leticia;1_C;CSH;CSH006;13;09h30;10h45;TD
Ang;Kate;1_C;CSH;CSH013;14;08h00;09h15;TD
Ang;Kate;1_C;CSH;CSH013;14;09h30;10h45;TD
Elec;Chris;1_C;GM;GM116;14;14h00;15h15;TD
Expr;Barde;1_C;CSH;CSH106;14;15h30;18h15;TD
Penser;Jo;1_E;CSH;CSH215;10;11h00;12h15;TD
Mat2;Gauss;1_E;Principal;Amphi103;10;14h00;15h15;TD
Elec;Gégé;1_E;Principal;Amphi9;10;15h30;16h45;TD
Thermo;Max;1_E;GMM;GMM13;10;17h00;18h15;TD
Elec;Gégé;1_E;Principal;Amphi103;11;08h00;09h15;TD
Sport;Antoine;1_E;Gym;Gym;12;16h00;17h45;APS
Electro;Tom;1_E;Principal;Amphi112;11;14h00;15h15;CM
Esp;Fiore;1_E;CSH;CSH111;11;15h30;18h15;TD
Elec;Chris;1_E;Principal;Amphi101;12;08h00;09h15;TD
Mat2;Gauss;1_E;Principal;Amphi5;12;09h30;10h45;TD
ProfComm;Moore;1_E;CSH;CSH015;12;12h15;15h00;TD
Electro;Tom;1_E_a;GP;GP1;11;09h30;12h30;TP
Electro;Eric;1_E_b;GP;GP1;10;08h00;11h00;TP
Esp;Fiore;1_E;CSH;CSH011;13;09h30;10h45;TD
Mat2;Gauss;1_E;Principal;Amphi7;13;11h00;12h15;TD
Tutorat;Moore;1_E;CSH;CSH206;13;14h00;16h00;TD
SI;Remy;1_E;MFJA;MFJA;14;10h00;12h30;TP
Elec;Gégé;1_E;GP;GP218;14;15h30;16h45;TD
Elec;Gégé;1_G;GB;GB43;10;08h00;09h15;TD
Mat2;Gauss;1_G;Principal;Amphi9;10;09h30;10h45;TD
Mat2;Gauss;1_G;GMM;GMM13;10;11h00;12h15;TD
Electro;Tom;1_G;GB;GB108;10;14h00;15h15;TD
Ang;Kate;1_G;CSH;CSH104;10;15h30;16h45;TD
Ang;Kate;1_G;CSH;CSH104;10;17h00;18h15;TD
Mat2;Euler;1_G;Principal;Riquet;11;08h00;09h15;CM
Mat2;Gauss;1_G;Principal;Amphi101;11;09h30;10h45;TD
Esp;Leticia;1_G;CSH;CSH211;11;11h00;12h15;TD
Thermo;Mayer;1_G;GB;GB108;11;14h00;15h15;TD
Sport;Kylian;1_G;Gym;Gym;11;15h30;17h15;APS
InvSym;Lau;1_G;GP;GP218;12;08h00;09h15;TD
SI;Remy;1_G;MFJA;MFJA;12;10h00;12h30;TP
Elec;Gégé;1_G;Principal;Vinci;12;13h30;15h15;CM
Elec;Gégé;1_G;Principal;Vinci;13;08h00;09h15;CM
Elec;Chris;1_G;GP;GP218;13;09h30;10h45;TD
Penser;Gwen;1_G;GB;GB42;13;11h00;12h15;TD
Expr;Barde;1_G;CSH;CSH211;14;09h30;12h15;TD
Electro;Tom;1_G;GP;GP1;14;15h30;18h30;TP
Electro;Tom;1_C;GB;GB42;15;09h30;10h45;TD
Electro;Tom;1_C;GB;GB43;15;11h00;12h15;TD
Elec;Gégé;1_C;Principal;Vinci;15;14h00;15h15;CM
SI;Remy;1_C;MFJA;MFJA;15;16h00;18h30;TP
Penser;Seb;1_C;GB;GB42;16;08h00;09h15;TD
Electro;Eric;1_C;GP;GP2;16;09h30;12h30;TP
Thermo;Max;1_C;GB;GB42;16;14h00;15h15;TD
Elec;Gégé;1_C;GB;GB42;16;15h30;16h45;TD
Elec;Gégé;1_C;Principal;Vinci;17;08h00;09h15;CM
Mat2;Euler;1_C;Principal;Vinci;17;09h30;10h45;CM
Mat2;Gauss;1_C;Principal;Amphi102;17;11h00;12h15;TD
Electro;Tom;1_C;CSH;CSH010;17;14h00;15h15;TD
Sport;Kylian;1_C;Gym;Gym;18;16h00;17h45;APS
Elec;Gégé;1_C;Principal;Vinci;18;8h00;9h15;CM
Esp;Leticia;1_C;CSH;CSH006;18;09h30;10h45;TD
Ang;Kate;1_C;CSH;CSH013;19;08h00;09h15;TD
Ang;Kate;1_C;CSH;CSH013;19;09h30;10h45;TD
Elec;Chris;1_C;GM;GM116;19;14h00;15h15;TD
Expr;Barde;1_C;CSH;CSH106;19;15h30;18h15;TD
Penser;Jo;1_E;CSH;CSH215;15;11h00;12h15;TD
Mat2;Gauss;1_E;Principal;Amphi103;15;14h00;15h15;TD
Elec;Gégé;1_E;Principal;Amphi9;15;15h30;16h45;TD
Thermo;Max;1_E;GMM;GMM13;15;17h00;18h15;TD
Elec;Gégé;1_E;Principal;Amphi103;16;08h00;09h15;TD
Sport;Antoine;1_E;Gym;Gym;17;16h00;17h45;APS
Electro;Tom;1_E;Principal;Amphi112;16;14h00;15h15;CM
Esp;Fiore;1_E;CSH;CSH111;16;15h30;18h15;TD
Elec;Chris;1_E;Principal;Amphi101;17;08h00;09h15;TD
Mat2;Gauss;1_E;Principal;Amphi5;17;09h30;10h45;TD
ProfComm;Moore;1_E;CSH;CSH015;17;12h15;15h00;TD
Electro;Tom;1_E_a;GP;GP1;16;09h30;12h30;TP
Electro;Eric;1_E_b;GP;GP1;15;08h00;11h00;TP
Esp;Fiore;1_E;CSH;CSH011;18;09h30;10h45;TD
Mat2;Gauss;1_E;Principal;Amphi7;18;11h00;12h15;TD
Tutorat;Moore;1_E;CSH;CSH206;18;14h00;16h00;TD
SI;Remy;1_E;MFJA;MFJA;19;10h00;12h30;TP
Elec;Gégé;1_E;GP;GP218;19;15h30;16h45;TD
Elec;Gégé;1_G;GB;GB43;15;08h00;09h15;TD
Mat2;Gauss;1_G;Principal;Amphi9;15;09h30;10h45;TD
Mat2;Gauss;1_G;GMM;GMM13;15;11h00;12h15;TD
Electro;Tom;1_G;GB;GB108;15;14h00;15h15;TD
Ang;Kate;1_G;CSH;CSH104;15;15h30;16h45;TD
Ang;Kate;1_G;CSH;CSH104;15;17h00;18h15;TD
Mat2;Euler;1_G;Principal;Riquet;16;08h00;09h15;CM
Mat2;Gauss;1_G;Principal;Amphi101;16;09h30;10h45;TD
Esp;Leticia;1_G;CSH;CSH211;16;11h00;12h15;TD
Thermo;Mayer;1_G;GB;GB108;16;14h00;15h15;TD
Sport;Kylian;1_G;Gym;Gym;16;15h30;17h15;APS
InvSym;Lau;1_G;GP;GP218;17;08h00;09h15;TD
SI;Remy;1_G;MFJA;MFJA;17;10h00;12h30;TP
Elec;Gégé;1_G;Principal;Vinci;17;13h30;15h15;CM
Elec;Gégé;1_G;Principal;Vinci;18;08h00;09h15;CM
Elec;Chris;1_G;GP;GP218;18;09h30;10h45;TD
Penser;Gwen;1_G;GB;GB42;18;11h00;12h15;TD
Expr;Barde;1_G;CSH;CSH211;19;09h30;12h15;TD
Electro;Tom;1_G;GP;GP1;19;15h30;18h30;TP
Electro;Tom;1_C;GB;GB42;20;09h30;10h45;TD
Electro;Tom;1_C;GB;GB43;20;11h00;12h15;TD
Elec;Gégé;1_C;Principal;Vinci;20;14h00;15h15;CM
SI;Remy;1_C;MFJA;MFJA;20;16h00;18h30;TP
Penser;Seb;1_C;GB;GB42;21;08h00;09h15;TD
Electro;Eric;1_C;GP;GP2;21;09h30;12h30;TP
Thermo;Max;1_C;GB;GB42;21;14h00;15h15;TD
Elec;Gégé;1_C;GB;GB42;21;15h30;16h45;TD
Elec;Gégé;1_C;Principal;Vinci;22;08h00;09h15;CM
Mat2;Euler;1_C;Principal;Vinci;22;09h30;10h45;CM
Mat2;Gauss;1_C;Principal;Amphi102;22;11h00;12h15;TD
Electro;Tom;1_C;CSH;CSH010;22;14h00;15h15;TD
Sport;Kylian;1_C;Gym;Gym;23;16h00;17h45;APS
Elec;Gégé;1_C;Principal;Vinci;23;8h00;9h15;CM
Esp;Leticia;1_C;CSH;CSH006;23;09h30;10h45;TD
Ang;Kate;1_C;CSH;CSH013;24;08h00;09h15;TD
Ang;Kate;1_C;CSH;CSH013;24;09h30;10h45;TD
Elec;Chris;1_C;GM;GM116;24;14h00;15h15;TD
Expr;Barde;1_C;CSH;CSH106;24;15h30;18h15;TD
Penser;Jo;1_E;CSH;CSH215;20;11h00;12h15;TD
Mat2;Gauss;1_E;Principal;Amphi103;20;14h00;15h15;TD
Elec;Gégé;1_E;Principal;Amphi9;20;15h30;16h45;TD
Thermo;Max;1_E;GMM;GMM13;20;17h00;18h15;TD
Elec;Gégé;1_E;Principal;Amphi103;21;08h00;09h15;TD
Sport;Antoine;1_E;Gym;Gym;22;16h00;17h45;APS
Electro;Tom;1_E;Principal;Amphi112;21;14h00;15h15;CM
Esp;Fiore;1_E;CSH;CSH111;21;15h30;18h15;TD
Elec;Chris;1_E;Principal;Amphi101;22;08h00;09h15;TD
Mat2;Gauss;1_E;Principal;Amphi5;22;09h30;10h45;TD
ProfComm;Moore;1_E;CSH;CSH015;22;12h15;15h00;TD
Electro;Tom;1_E_a;GP;GP1;21;09h30;12h30;TP
Electro;Eric;1_E_b;GP;GP1;20;08h00;11h00;TP
Esp;Fiore;1_E;CSH;CSH011;23;09h30;10h45;TD
Mat2;Gauss;1_E;Principal;Amphi7;23;11h00;12h15;TD
Tutorat;Moore;1_E;CSH;CSH206;23;14h00;16h00;TD
SI;Remy;1_E;MFJA;MFJA;24;10h00;12h30;TP
Elec;Gégé;1_E;GP;GP218;24;15h30;16h45;TD
Elec;Gégé;1_G;GB;GB43;20;08h00;09h15;TD
Mat2;Gauss;1_G;Principal;Amphi9;20;09h30;10h45;TD
Mat2;Gauss;1_G;GMM;GMM13;20;11h00;12h15;TD
Electro;Tom;1_G;GB;GB108;20;14h00;15h15;TD
Ang;Kate;1_G;CSH;CSH104;20;15h30;16h45;TD
Ang;Kate;1_G;CSH;CSH104;20;17h00;18h15;TD
Mat2;Euler;1_G;Principal;Riquet;21;08h00;09h15;CM
Mat2;Gauss;1_G;Principal;Amphi101;21;09h30;10h45;TD
Esp;Leticia;1_G;CSH;CSH211;21;11h00;12h15;TD
Thermo;Mayer;1_G;GB;GB108;21;14h00;15h15;TD
Sport;Kylian;1_G;Gym;Gym;21;15h30;17h15;APS
InvSym;Lau;1_G;GP;GP218;22;08h00;09h15;TD
SI;Remy;1_G;MFJA;MFJA;22;10h00;12h30;TP
Elec;Gégé;1_G;Principal;Vinci;22;13h30;15h15;CM
Elec;Gégé;1_G;Principal;Vinci;23;08h00;09h15;CM
Elec;Chris;1_G;GP;GP218;23;09h30;10h45;TD
Penser;Gwen;1_G;GB;GB42;23;11h00;12h15;TD
Expr;Barde;1_G;CSH;CSH211;24;09h30;12h15;TD
Electro;Tom;1_G;GP;GP1;24;15h30;18h30;TP
Electro;Tom;1_C;GB;GB42;25;09h30;10h45;TD
Electro;Tom;1_C;GB;GB43;25;11h00;12h15;TD
Elec;Gégé;1_C;Principal;Vinci;25;14h00;15h15;CM
SI;Remy;1_C;MFJA;MFJA;25;16h00;18h30;TP
Penser;Seb;1_C;GB;GB42;26;08h00;09h15;TD
Electro;Eric;1_C;GP;GP2;26;09h30;12h30;TP
Thermo;Max;1_C;GB;GB42;26;14h00;15h15;TD
Elec;Gégé;1_C;GB;GB42;26;15h30;16h45;TD
Elec;Gégé;1_C;Principal;Vinci;27;08h00;09h15;CM
Mat2;Euler;1_C;Principal;Vinci;27;09h30;10h45;CM
Mat2;Gauss;1_C;Principal;Amphi102;27;11h00;12h15;TD
Electro;Tom;1_C;CSH;CSH010;27;14h00;15h15;TD
Sport;Kylian;1_C;Gym;Gym;28;16h00;17h45;APS
Elec;Gégé;1_C;Principal;Vinci;28;8h00;9h15;CM
Esp;Leticia;1_C;CSH;CSH006;28;09h30;10h45;TD
Ang;Kate;1_C;CSH;CSH013;29;08h00;09h15;TD
Ang;Kate;1_C;CSH;CSH013;29;09h30;10h45;TD
Elec;Chris;1_C;GM;GM116;29;14h00;15h15;TD
Expr;Barde;1_C;CSH;CSH106;29;15h30;18h15;TD
Penser;Jo;1_E;CSH;CSH215;25;11h00;12h15;TD
Mat2;Gauss;1_E;Principal;Amphi103;25;14h00;15h15;TD
Elec;Gégé;1_E;Principal;Amphi9;25;15h30;16h45;TD
Thermo;Max;1_E;GMM;GMM13;25;17h00;18h15;TD
Elec;Gégé;1_E;Principal;Amphi103;26;08h00;09h15;TD
Sport;Antoine;1_E;Gym;Gym;27;16h00;17h45;APS
Electro;Tom;1_E;Principal;Amphi112;26;14h00;15h15;CM
Esp;Fiore;1_E;CSH;CSH111;26;15h30;18h15;TD
Elec;Chris;1_E;Principal;Amphi101;27;08h00;09h15;TD
Mat2;Gauss;1_E;Principal;Amphi5;27;09h30;10h45;TD
ProfComm;Moore;1_E;CSH;CSH015;27;12h15;15h00;TD
Electro;Tom;1_E_a;GP;GP1;26;09h30;12h30;TP
Electro;Eric;1_E_b;GP;GP1;25;08h00;11h00;TP
Esp;Fiore;1_E;CSH;CSH011;28;09h30;10h45;TD
Mat2;Gauss;1_E;Principal;Amphi7;28;11h00;12h15;TD
Tutorat;Moore;1_E;CSH;CSH206;28;14h00;16h00;TD
SI;Remy;1_E;MFJA;MFJA;29;10h00;12h30;TP
Elec;Gégé;1_E;GP;GP218;29;15h30;16h45;TD
Elec;Gégé;1_G;GB;GB43;25;08h00;09h15;TD
Mat2;Gauss;1_G;Principal;Amphi9;25;09h30;10h45;TD
Mat2;Gauss;1_G;GMM;GMM13;25;11h00;12h15;TD
Electro;Tom;1_G;GB;GB108;25;14h00;15h15;TD
Ang;Kate;1_G;CSH;CSH104;25;15h30;16h45;TD
Ang;Kate;1_G;CSH;CSH104;25;17h00;18h15;TD
Mat2;Euler;1_G;Principal;Riquet;26;08h00;09h15;CM
Mat2;Gauss;1_G;Principal;Amphi101;26;09h30;10h45;TD
Esp;Leticia;1_G;CSH;CSH211;26;11h00;12h15;TD
Thermo;Mayer;1_G;GB;GB108;26;14h00;15h15;TD
Sport;Kylian;1_G;Gym;Gym;26;15h30;17h15;APS
InvSym;Lau;1_G;GP;GP218;27;08h00;09h15;TD
SI;Remy;1_G;MFJA;MFJA;27;10h00;12h30;TP
Elec;Gégé;1_G;Principal;Vinci;27;13h30;15h15;CM
Elec;Gégé;1_G;Principal;Vinci;28;08h00;09h15;CM
Elec;Chris;1_G;GP;GP218;28;09h30;10h45;TD
Penser;Gwen;1_G;GB;GB42;28;11h00;12h15;TD
Expr;Barde;1_G;CSH;CSH211;29;09h30;12h15;TD
Electro;Tom;1_G;GP;GP1;29;15h30;18h30;TP
Electro;Tom;1_C;GB;GB42;30;09h30;10h45;TD
Electro;Tom;1_C;GB;GB43;30;11h00;12h15;TD
Elec;Gégé;1_C;Principal;Vinci;30;14h00;15h15;CM
SI;Remy;1_C;MFJA;MFJA;30;16h00;18h30;TP
Penser;Seb;1_C;GB;GB42;31;08h00;09h15;TD
Electro;Eric;1_C;GP;GP2;31;09h30;12h30;TP
Thermo;Max;1_C;GB;GB42;31;14h00;15h15;TD
Elec;Gégé;1_C;GB;GB42;31;15h30;16h45;TD
Elec;Gégé;1_C;Principal;Vinci;32;08h00;09h15;CM
Mat2;Euler;1_C;Principal;Vinci;32;09h30;10h45;CM
Mat2;Gauss;1_C;Principal;Amphi102;32;11h00;12h15;TD
Electro;Tom;1_C;CSH;CSH010;32;14h00;15h15;TD
Sport;Kylian;1_C;Gym;Gym;33;16h00;17h45;APS
Elec;Gégé;1_C;Principal;Vinci;33;8h00;9h15;CM
Esp;Leticia;1_C;CSH;CSH006;33;09h30;10h45;TD
Ang;Kate;1_C;CSH;CSH013;34;08h00;09h15;TD
Ang;Kate;1_C;CSH;CSH013;34;09h30;10h45;TD
Elec;Chris;1_C;GM;GM116;34;14h00;15h15;TD
Expr;Barde;1_C;CSH;CSH106;34;15h30;18h15;TD
Penser;Jo;1_E;CSH;CSH215;30;11h00;12h15;TD
Mat2;Gauss;1_E;Principal;Amphi103;30;14h00;15h15;TD
Elec;Gégé;1_E;Principal;Amphi9;30;15h30;16h45;TD
Thermo;Max;1_E;GMM;GMM13;30;17h00;18h15;TD
Elec;Gégé;1_E;Principal;Amphi103;31;08h00;09h15;TD
Sport;Antoine;1_E;Gym;Gym;32;16h00;17h45;APS
Electro;Tom;1_E;Principal;Amphi112;31;14h00;15h15;CM
Esp;Fiore;1_E;CSH;CSH111;31;15h30;18h15;TD
Elec;Chris;1_E;Principal;Amphi101;32;08h00;09h15;TD
Mat2;Gauss;1_E;Principal;Amphi5;32;09h30;10h45;TD
ProfComm;Moore;1_E;CSH;CSH015;32;12h15;15h00;TD
Electro;Tom;1_E_a;GP;GP1;31;09h30;12h30;TP
Electro;Eric;1_E_b;GP;GP1;30;08h00;11h00;TP
Esp;Fiore;1_E;CSH;CSH011;33;09h30;10h45;TD
Mat2;Gauss;1_E;Principal;Amphi7;33;11h00;12h15;TD
Tutorat;Moore;1_E;CSH;CSH206;33;14h00;16h00;TD
SI;Remy;1_E;MFJA;MFJA;34;10h00;12h30;TP
Elec;Gégé;1_E;GP;GP218;34;15h30;16h45;TD
Elec;Gégé;1_G;GB;GB43;30;08h00;09h15;TD
Mat2;Gauss;1_G;Principal;Amphi9;30;09h30;10h45;TD
Mat2;Gauss;1_G;GMM;GMM13;30;11h00;12h15;TD
Electro;Tom;1_G;GB;GB108;30;14h00;15h15;TD
Ang;Kate;1_G;CSH;CSH104;30;15h30;16h45;TD
Ang;Kate;1_G;CSH;CSH104;30;17h00;18h15;TD
Mat2;Euler;1_G;Principal;Riquet;31;08h00;09h15;CM
Mat2;Gauss;1_G;Principal;Amphi101;31;09h30;10h45;TD
Esp;Leticia;1_G;CSH;CSH211;31;11h00;12h15;TD
Thermo;Mayer;1_G;GB;GB108;31;14h00;15h15;TD
Sport;Kylian;1_G;Gym;Gym;31;15h30;17h15;APS
InvSym;Lau;1_G;GP;GP218;32;08h00;09h15;TD
SI;Remy;1_G;MFJA;MFJA;32;10h00;12h30;TP
Elec;Gégé;1_G;Principal;Vinci;32;13h30;15h15;CM
Elec;Gégé;1_G;Principal;Vinci;33;08h00;09h15;CM
Elec;Chris;1_G;GP;GP218;33;09h30;10h45;TD
Penser;Gwen;1_G;GB;GB42;33;11h00;12h15;TD
Expr;Barde;1_G;CSH;CSH211;34;09h30;12h15;TD
Electro;Tom;1_G;GP;GP1;34;15h30;18h30;TP
Electro;Tom;1_C;GB;GB42;35;09h30;10h45;TD
Electro;Tom;1_C;GB;GB43;35;11h00;12h15;TD
Elec;Gégé;1_C;Principal;Vinci;35;14h00;15h15;CM
SI;Remy;1_C;MFJA;MFJA;35;16h00;18h30;TP
Penser;Seb;1_C;GB;GB42;36;08h00;09h15;TD
Electro;Eric;1_C;GP;GP2;36;09h30;12h30;TP
Thermo;Max;1_C;GB;GB42;36;14h00;15h15;TD
Elec;Gégé;1_C;GB;GB42;36;15h30;16h45;TD
Elec;Gégé;1_C;Principal;Vinci;37;08h00;09h15;CM
Mat2;Euler;1_C;Principal;Vinci;37;09h30;10h45;CM
Mat2;Gauss;1_C;Principal;Amphi102;37;11h00;12h15;TD
